Folder,Average_NDVI
LC08_L2SP_141054_20200614_20200824_02_T1_replaced,0.3607368315051771
LC08_L2SP_141054_20200716_20200912_02_T1_replaced,0.2853798291972149
LC08_L2SP_141054_20200817_20200920_02_T1_replaced,0.2748216840319361
LC08_L2SP_141054_20200918_20201005_02_T1_replaced,0.26757831018602163
LC08_L2SP_141054_20201004_20201015_02_T1_replaced,0.2771028449526132
LC08_L2SP_141054_20201121_20210315_02_T1_replaced,0.2061771007389682
LC08_L2SP_141054_20201207_20210313_02_T1_replaced,0.29409688713718385
LC08_L2SP_141054_20210124_20210305_02_T1_replaced,0.29543641342277965
LC08_L2SP_141054_20210209_20210302_02_T1_replaced,0.286285511400914
LC08_L2SP_141054_20210329_20210402_02_T1_replaced,0.3042120334020405
LC08_L2SP_141054_20210414_20210423_02_T1_replaced,0.2736957131173168
LC08_L2SP_141054_20210516_20210525_02_T1_replaced,0.3193338038352628
LC08_L2SP_141054_20210601_20210608_02_T1_replaced,0.33716474256408663
LC08_L2SP_141054_20210719_20210729_02_T1_replaced,0.3377460687919957
LC08_L2SP_141054_20210820_20210827_02_T1_replaced,0.31499929046468705
LC08_L2SP_141054_20210921_20210925_02_T1_replaced,0.3271938847873155
LC08_L2SP_141054_20211007_20211013_02_T1_replaced,0.3063294359624603
LC08_L2SP_141054_20211226_20211230_02_T1_replaced,0.2546003555823875
LC08_L2SP_141054_20220401_20220406_02_T1_replaced,0.26839553281027256
LC08_L2SP_141054_20220604_20220610_02_T1_replaced,0.32693474253934185
LC08_L2SP_141054_20220924_20220929_02_T1_replaced,0.31108658465531513
LC08_L2SP_141054_20221127_20221206_02_T1_replaced,0.13748357047202012
LC08_L2SP_141054_20221213_20221228_02_T1_replaced,0.31174775265184285
LC08_L2SP_141054_20230130_20230208_02_T1_replaced,0.2973595535778523
LC08_L2SP_141054_20230319_20230324_02_T1_replaced,0.28371251839524186
LC08_L2SP_141054_20230522_20230602_02_T1_replaced,0.3574377554842197
LC09_L2SP_141054_20220119_20230501_02_T1_replaced,0.32167631266493024
LC09_L2SP_141054_20220204_20230429_02_T1_replaced,0.3238876199003163
LC09_L2SP_141054_20220308_20230425_02_T1_replaced,0.249935914435022
LC09_L2SP_141054_20220527_20230415_02_T1_replaced,0.27907751767679867
LC09_L2SP_141054_20220714_20230407_02_T1_replaced,0.2822746193890892
LC09_L2SP_141054_20220815_20230402_02_T1_replaced,0.3401878683832124
LC09_L2SP_141054_20221018_20230325_02_T1_replaced,0.24367686052497192
LC09_L2SP_141054_20230223_20230308_02_T1_replaced,0.2653557010792457
LC09_L2SP_141054_20230412_20230414_02_T1_replaced,0.2921701292217043
LC09_L2SP_141054_20230615_20230617_02_T1_replaced,0.3504758734219314
LC09_L2SP_141054_20230717_20230719_02_T1_replaced,0.31157930363873015
LC09_L2SP_141054_20230802_20230804_02_T1_replaced,0.2926869229664546
